Feature (description),Attribute,F,T
Class Prior,N/A,0.0725,0.9275
N_C_AGE (N/A),M,0.0006,0
N_C_AGE (N/A),ge18less65,0.2814,0.5851
N_C_AGE (N/A),ge5less18,0.2043,0.1583
N_C_AGE (N/A),ge65,0.1168,0.1242
N_C_AGE (N/A),less5,0.397,0.1323
N_D_RACE (N/A),BLACK,0.3435,0.3895
N_D_RACE (N/A),M,0.0035,0.002
N_D_RACE (N/A),NOT_SPECIFIED,0.015,0.0085
N_D_RACE (N/A),OTHER,0.0483,0.037
N_D_RACE (N/A),WHITE,0.5898,0.563
C_D_C0000737 (Abdominal Pain),M,0.7005,0.6357
C_D_C0000737 (Abdominal Pain),N,0.1296,0.1316
C_D_C0000737 (Abdominal Pain),P,0.1699,0.2327
C_D_C0003578 (Apnea),M,0.9603,0.9743
C_D_C0003578 (Apnea),N,0.0046,0.0027
C_D_C0003578 (Apnea),P,0.0351,0.023
C_D_C0004604 (Back Pain),M,0.913,0.816
C_D_C0004604 (Back Pain),N,0.015,0.0377
C_D_C0004604 (Back Pain),P,0.072,0.1463
C_D_C0005603 (Birth History),M,0.8698,0.9758
C_D_C0005603 (Birth History),N,0.0006,0.0001
C_D_C0005603 (Birth History),P,0.1296,0.0241
C_D_C0008031 (Chest Pain),M,0.693,0.5857
C_D_C0008031 (Chest Pain),N,0.1734,0.2425
C_D_C0008031 (Chest Pain),P,0.1336,0.1718
C_D_C0009812 (Constitutional Symptom),M,0.6164,0.8354
C_D_C0009812 (Constitutional Symptom),N,0.0052,0.0028
C_D_C0009812 (Constitutional Symptom),P,0.3785,0.1618
C_D_C0010200 (Coughing),M,0.3082,0.7325
C_D_C0010200 (Coughing),N,0.0726,0.1351
C_D_C0010200 (Coughing),P,0.6192,0.1324
C_D_C0011991 (Diarrhea),M,0.5714,0.7381
C_D_C0011991 (Diarrhea),N,0.1434,0.0991
C_D_C0011991 (Diarrhea),P,0.2851,0.1628
C_D_C0012569 (Diplopia),M,0.9787,0.9523
C_D_C0012569 (Diplopia),N,0.0109,0.0123
C_D_C0012569 (Diplopia),P,0.0104,0.0354
C_D_C0012833 (Dizziness),M,0.9171,0.8572
C_D_C0012833 (Dizziness),N,0.0058,0.0195
C_D_C0012833 (Dizziness),P,0.0772,0.1233
C_D_C0013404 (Dyspnea),M,0.568,0.5609
C_D_C0013404 (Dyspnea),N,0.1256,0.1812
C_D_C0013404 (Dyspnea),P,0.3065,0.2579
C_D_C0013428 (Dysuria),M,0.8283,0.7808
C_D_C0013428 (Dysuria),N,0.1175,0.1298
C_D_C0013428 (Dysuria),P,0.0541,0.0894
C_D_C0015230 (Exanthema),M,0.3312,0.4596
C_D_C0015230 (Exanthema),N,0.5685,0.4565
C_D_C0015230 (Exanthema),P,0.1002,0.0839
C_D_C0015672 (Fatigue),M,0.8785,0.9408
C_D_C0015672 (Fatigue),N,0.0069,0.0178
C_D_C0015672 (Fatigue),P,0.1146,0.0414
C_D_C0015967 (Fever),M,0.1446,0.4081
C_D_C0015967 (Fever),N,0.1751,0.3648
C_D_C0015967 (Fever),P,0.6803,0.2271
C_D_C0016512 (Foot pain),M,0.9988,0.9824
C_D_C0016512 (Foot pain),N,0.0006,0.0005
C_D_C0016512 (Foot pain),P,0.0006,0.0171
C_D_C0017979 (Glycosuria),M,0.8439,0.8962
C_D_C0017979 (Glycosuria),N,0.0006,0.0003
C_D_C0017979 (Glycosuria),P,0.1555,0.1034
C_D_C0018681 (Headache),M,0.7488,0.7175
C_D_C0018681 (Headache),N,0.0916,0.1419
C_D_C0018681 (Headache),P,0.1596,0.1406
C_D_C0018808 (Heart murmur),M,0.307,0.3935
C_D_C0018808 (Heart murmur),N,0.6722,0.5765
C_D_C0018808 (Heart murmur),P,0.0207,0.03
C_D_C0019029 (Hemoglobin concentration result),M,0.6959,0.7825
C_D_C0019029 (Hemoglobin concentration result),N,0.0006,0.0002
C_D_C0019029 (Hemoglobin concentration result),P,0.3036,0.2173
C_D_C0019214 (Hepatosplenomegaly),M,0.9487,0.9014
C_D_C0019214 (Hepatosplenomegaly),N,0.0444,0.0936
C_D_C0019214 (Hepatosplenomegaly),P,0.0069,0.005
C_D_C0020440 (Hypercapnia),M,0.9856,0.9986
C_D_C0020440 (Hypercapnia),N,0.0012,0.0004
C_D_C0020440 (Hypercapnia),P,0.0132,0.001
C_D_C0020580 (Hypesthesia),M,0.9326,0.8259
C_D_C0020580 (Hypesthesia),N,0.0351,0.0888
C_D_C0020580 (Hypesthesia),P,0.0323,0.0853
C_D_C0021294 ('Infant  Premature'),M,0.9862,0.998
C_D_C0021294 ('Infant  Premature'),N,0.0006,0.0001
C_D_C0021294 ('Infant  Premature'),P,0.0132,0.0019
C_D_C0022346 (Icterus),M,0.7391,0.7353
C_D_C0022346 (Icterus),N,0.0916,0.0477
C_D_C0022346 (Icterus),P,0.1694,0.217
C_D_C0023380 (Lethargy),M,0.947,0.9809
C_D_C0023380 (Lethargy),N,0.0138,0.0041
C_D_C0023380 (Lethargy),P,0.0392,0.015
