Feature (description),Attribute,M,T
Class Prior,N/A,0.9992,0.0008
N_C_AGE (N/A),M,0,0.013
N_C_AGE (N/A),ge18less65,0.5898,0.1688
N_C_AGE (N/A),ge5less18,0.1599,0.1948
N_C_AGE (N/A),ge65,0.1204,0.1818
N_C_AGE (N/A),less5,0.1299,0.4416
N_D_RACE (N/A),BLACK,0.3884,0.2078
N_D_RACE (N/A),M,0.003,0.013
N_D_RACE (N/A),NOT_SPECIFIED,0.0066,0.026
N_D_RACE (N/A),OTHER,0.0299,0.0519
N_D_RACE (N/A),WHITE,0.5721,0.7013
C_D_C0000737 (Abdominal Pain),M,0.6559,0.7333
C_D_C0000737 (Abdominal Pain),N,0.1234,0.1333
C_D_C0000737 (Abdominal Pain),P,0.2207,0.1333
C_D_C0003578 (Apnea),M,0.9788,0.9467
C_D_C0003578 (Apnea),N,0.0022,0.0133
C_D_C0003578 (Apnea),P,0.019,0.04
C_D_C0004604 (Back Pain),M,0.8319,0.9067
C_D_C0004604 (Back Pain),N,0.0285,0.0267
C_D_C0004604 (Back Pain),P,0.1396,0.0667
C_D_C0005603 (Birth History),M,0.9782,0.8533
C_D_C0005603 (Birth History),N,0,0.0133
C_D_C0005603 (Birth History),P,0.0218,0.1333
C_D_C0008031 (Chest Pain),M,0.614,0.7467
C_D_C0008031 (Chest Pain),N,0.2086,0.1733
C_D_C0008031 (Chest Pain),P,0.1774,0.08
C_D_C0009812 (Constitutional Symptom),M,0.8298,0.5333
C_D_C0009812 (Constitutional Symptom),N,0.0032,0.0133
C_D_C0009812 (Constitutional Symptom),P,0.167,0.4533
C_D_C0010200 (Coughing),M,0.7456,0.3467
C_D_C0010200 (Coughing),N,0.1197,0.0667
C_D_C0010200 (Coughing),P,0.1348,0.5867
C_D_C0011991 (Diarrhea),M,0.7512,0.56
C_D_C0011991 (Diarrhea),N,0.0745,0.16
C_D_C0011991 (Diarrhea),P,0.1743,0.28
C_D_C0012569 (Diplopia),M,0.9588,0.96
C_D_C0012569 (Diplopia),N,0.0141,0.0133
C_D_C0012569 (Diplopia),P,0.0271,0.0267
C_D_C0012833 (Dizziness),M,0.8815,0.9467
C_D_C0012833 (Dizziness),N,0.0154,0.0133
C_D_C0012833 (Dizziness),P,0.1032,0.04
C_D_C0013404 (Dyspnea),M,0.5772,0.5867
C_D_C0013404 (Dyspnea),N,0.165,0.0533
C_D_C0013404 (Dyspnea),P,0.2578,0.36
C_D_C0013428 (Dysuria),M,0.8261,0.8667
C_D_C0013428 (Dysuria),N,0.0925,0.08
C_D_C0013428 (Dysuria),P,0.0814,0.0533
C_D_C0015230 (Exanthema),M,0.4681,0.3333
C_D_C0015230 (Exanthema),N,0.4501,0.5733
C_D_C0015230 (Exanthema),P,0.0818,0.0933
C_D_C0015672 (Fatigue),M,0.9474,0.8667
C_D_C0015672 (Fatigue),N,0.0114,0.0133
C_D_C0015672 (Fatigue),P,0.0412,0.12
C_D_C0015967 (Fever),M,0.4231,0.16
C_D_C0015967 (Fever),N,0.3481,0.2
C_D_C0015967 (Fever),P,0.2288,0.64
C_D_C0016512 (Foot pain),M,0.984,0.9733
C_D_C0016512 (Foot pain),N,0.0005,0.0133
C_D_C0016512 (Foot pain),P,0.0155,0.0133
C_D_C0017979 (Glycosuria),M,0.9149,0.8
C_D_C0017979 (Glycosuria),N,0.0001,0.0133
C_D_C0017979 (Glycosuria),P,0.085,0.1867
C_D_C0018681 (Headache),M,0.7416,0.7867
C_D_C0018681 (Headache),N,0.1158,0.1467
C_D_C0018681 (Headache),P,0.1427,0.0667
C_D_C0018808 (Heart murmur),M,0.3689,0.3733
C_D_C0018808 (Heart murmur),N,0.6036,0.6133
C_D_C0018808 (Heart murmur),P,0.0275,0.0133
C_D_C0019029 (Hemoglobin concentration result),M,0.8079,0.5067
C_D_C0019029 (Hemoglobin concentration result),N,0.0001,0.0133
C_D_C0019029 (Hemoglobin concentration result),P,0.192,0.48
C_D_C0019214 (Hepatosplenomegaly),M,0.9078,0.9333
C_D_C0019214 (Hepatosplenomegaly),N,0.0889,0.0533
C_D_C0019214 (Hepatosplenomegaly),P,0.0033,0.0133
C_D_C0020440 (Hypercapnia),M,0.9984,0.9333
C_D_C0020440 (Hypercapnia),N,0.0002,0.0133
C_D_C0020440 (Hypercapnia),P,0.0015,0.0533
C_D_C0020580 (Hypesthesia),M,0.849,0.9333
C_D_C0020580 (Hypesthesia),N,0.0655,0.0533
C_D_C0020580 (Hypesthesia),P,0.0855,0.0133
C_D_C0021294 ('Infant  Premature'),M,0.9983,0.9467
C_D_C0021294 ('Infant  Premature'),N,0,0.0133
C_D_C0021294 ('Infant  Premature'),P,0.0016,0.04
C_D_C0022346 (Icterus),M,0.7091,0.5733
C_D_C0022346 (Icterus),N,0.0641,0.1867
C_D_C0022346 (Icterus),P,0.2268,0.24
C_D_C0023380 (Lethargy),M,0.984,0.84
C_D_C0023380 (Lethargy),N,0.0039,0.0267
C_D_C0023380 (Lethargy),P,0.0122,0.1333
C_D_C0024031 (Low Back Pain),M,0.9654,0.9733
C_D_C0024031 (Low Back Pain),N,0.0005,0.0133
C_D_C0024031 (Low Back Pain),P,0.0341,0.0133
C_D_C0026858 (Musculoskeletal Pain),M,0.9906,0.9733
C_D_C0026858 (Musculoskeletal Pain),N,0.0014,0.0133
C_D_C0026858 (Musculoskeletal Pain),P,0.008,0.0133
C_D_C0027424 (Nasal congestion (finding)),M,0.9405,0.7067
C_D_C0027424 (Nasal congestion (finding)),N,0.029,0.04
C_D_C0027424 (Nasal congestion (finding)),P,0.0305,0.2533
C_D_C0027497 (Nausea),M,0.6601,0.8267
C_D_C0027497 (Nausea),N,0.1187,0.0933
C_D_C0027497 (Nausea),P,0.2211,0.08
C_D_C0028643 (Numbness),M,0.8452,0.9333
C_D_C0028643 (Numbness),N,0.0684,0.0533
C_D_C0028643 (Numbness),P,0.0864,0.0133
C_D_C0029053 (Decreased translucency),M,0.9891,0.84
C_D_C0029053 (Decreased translucency),N,0.0003,0.0133
C_D_C0029053 (Decreased translucency),P,0.0106,0.1467
C_D_C0030193 (Pain),M,0.4628,0.8133
C_D_C0030193 (Pain),N,0.1008,0.04
C_D_C0030193 (Pain),P,0.4364,0.1467
C_D_C0030232 (Pallor),M,0.9411,0.84
