Feature (description),Attribute,M,T
Class Prior,N/A,0.9197,0.0803
N_C_AGE (N/A),M,0.0001,0.0001
N_C_AGE (N/A),ge18less65,0.5745,0.3385
N_C_AGE (N/A),ge5less18,0.159,0.2872
N_C_AGE (N/A),ge65,0.1343,0.0865
N_C_AGE (N/A),less5,0.132,0.2876
N_D_ETHNICITY (N/A),HISPANIC_OR_LATINO,0.0116,0.0198
N_D_ETHNICITY (N/A),M,0.0118,0.0105
N_D_ETHNICITY (N/A),NOT_HISPANIC_OR_LATINO,0.9078,0.912
N_D_ETHNICITY (N/A),NOT_SPECIFIED,0.0688,0.0576
N_D_RACE (N/A),BLACK,0.3822,0.3953
N_D_RACE (N/A),M,0.0042,0.0062
N_D_RACE (N/A),NOT_SPECIFIED,0.0155,0.0204
N_D_RACE (N/A),OTHER,0.0352,0.0401
N_D_RACE (N/A),WHITE,0.5629,0.538
C_D_C0000737 (Abdominal Pain),M,0.625,0.6671
C_D_C0000737 (Abdominal Pain),N,0.1492,0.1726
C_D_C0000737 (Abdominal Pain),P,0.2257,0.1603
C_D_C0003862 (Arthralgia),M,0.8702,0.9011
C_D_C0003862 (Arthralgia),N,0.0475,0.0331
C_D_C0003862 (Arthralgia),P,0.0822,0.0659
C_D_C0004604 (Back Pain),M,0.8058,0.8912
C_D_C0004604 (Back Pain),N,0.0528,0.0312
C_D_C0004604 (Back Pain),P,0.1414,0.0776
C_D_C0005603 (Birth History),M,0.9798,0.956
C_D_C0005603 (Birth History),N,0.0001,0.0003
C_D_C0005603 (Birth History),P,0.0202,0.0437
C_D_C0005758 (Bulla),M,0.985,0.996
C_D_C0005758 (Bulla),N,0.0024,0.0011
C_D_C0005758 (Bulla),P,0.0126,0.003
C_D_C0007859 (Neck Pain),M,0.8739,0.8968
C_D_C0007859 (Neck Pain),N,0.0653,0.0702
C_D_C0007859 (Neck Pain),P,0.0608,0.0331
C_D_C0008031 (Chest Pain),M,0.5326,0.6532
C_D_C0008031 (Chest Pain),N,0.3044,0.2204
C_D_C0008031 (Chest Pain),P,0.1631,0.1265
C_D_C0008035 (Chest wall pain),M,0.9864,0.9953
C_D_C0008035 (Chest wall pain),N,0.0003,0.0001
C_D_C0008035 (Chest wall pain),P,0.0133,0.0046
C_D_C0009488 (Comorbidity),M,0.9947,0.9814
C_D_C0009488 (Comorbidity),N,0.0003,0.0039
C_D_C0009488 (Comorbidity),P,0.005,0.0147
C_D_C0009791 (Consciousness related finding),M,0.951,0.9675
C_D_C0009791 (Consciousness related finding),N,0.0009,0.0003
C_D_C0009791 (Consciousness related finding),P,0.0481,0.0323
C_D_C0009806 (Constipation),M,0.8774,0.9081
C_D_C0009806 (Constipation),N,0.0331,0.0337
C_D_C0009806 (Constipation),P,0.0895,0.0582
C_D_C0009812 (Constitutional Symptom),M,0.8595,0.7397
C_D_C0009812 (Constitutional Symptom),N,0.0094,0.0054
C_D_C0009812 (Constitutional Symptom),P,0.1311,0.2549
C_D_C0010200 (Coughing),M,0.6656,0.3783
C_D_C0010200 (Coughing),N,0.1737,0.0551
C_D_C0010200 (Coughing),P,0.1608,0.5667
C_D_C0010520 (Cyanosis),M,0.9568,0.965
C_D_C0010520 (Cyanosis),N,0.0278,0.0211
C_D_C0010520 (Cyanosis),P,0.0154,0.0139
C_D_C0011991 (Diarrhea),M,0.6898,0.5808
C_D_C0011991 (Diarrhea),N,0.1211,0.1428
C_D_C0011991 (Diarrhea),P,0.1891,0.2764
C_D_C0012569 (Diplopia),M,0.9434,0.9663
C_D_C0012569 (Diplopia),N,0.0258,0.0188
C_D_C0012569 (Diplopia),P,0.0309,0.015
C_D_C0012833 (Dizziness),M,0.8574,0.9155
C_D_C0012833 (Dizziness),N,0.0193,0.0081
C_D_C0012833 (Dizziness),P,0.1233,0.0764
C_D_C0013144 (Drowsiness),M,0.9719,0.9775
C_D_C0013144 (Drowsiness),N,0.0006,0.0008
C_D_C0013144 (Drowsiness),P,0.0275,0.0217
C_D_C0013404 (Dyspnea),M,0.5036,0.5976
C_D_C0013404 (Dyspnea),N,0.2527,0.1366
C_D_C0013404 (Dyspnea),P,0.2437,0.2659
C_D_C0013428 (Dysuria),M,0.7117,0.7468
C_D_C0013428 (Dysuria),N,0.2156,0.2032
C_D_C0013428 (Dysuria),P,0.0727,0.0499
C_D_C0015230 (Exanthema),M,0.4413,0.4366
C_D_C0015230 (Exanthema),N,0.4702,0.5053
C_D_C0015230 (Exanthema),P,0.0884,0.0582
C_D_C0015468 (Facial Pain),M,0.9917,0.9984
C_D_C0015468 (Facial Pain),N,0.0005,0.0009
C_D_C0015468 (Facial Pain),P,0.0078,0.0007
C_D_C0015672 (Fatigue),M,0.9381,0.8499
C_D_C0015672 (Fatigue),N,0.019,0.009
C_D_C0015672 (Fatigue),P,0.0429,0.141
C_D_C0015967 (Fever),M,0.3981,0.2966
C_D_C0015967 (Fever),N,0.4026,0.1019
C_D_C0015967 (Fever),P,0.1993,0.6015
C_D_C0016199 (Flank Pain),M,0.9783,0.9942
C_D_C0016199 (Flank Pain),N,0.0031,0.0011
C_D_C0016199 (Flank Pain),P,0.0186,0.0047
C_D_C0016512 (Foot pain),M,0.9837,0.9989
C_D_C0016512 (Foot pain),N,0.0005,0.0001
C_D_C0016512 (Foot pain),P,0.0159,0.0009
C_D_C0016928 (Gait),M,0.9557,0.9772
C_D_C0016928 (Gait),N,0.0005,0.0001
C_D_C0016928 (Gait),P,0.0438,0.0227
C_D_C0017979 (Glycosuria),M,0.8905,0.8761
C_D_C0017979 (Glycosuria),N,0.0001,0.0003
C_D_C0017979 (Glycosuria),P,0.1094,0.1236
C_D_C0018681 (Headache),M,0.7022,0.6955
C_D_C0018681 (Headache),N,0.1599,0.1179
C_D_C0018681 (Headache),P,0.1379,0.1865
C_D_C0018808 (Heart murmur),M,0.4396,0.4655
C_D_C0018808 (Heart murmur),N,0.5332,0.514
C_D_C0018808 (Heart murmur),P,0.0271,0.0205
C_D_C0019029 (Hemoglobin concentration result),M,0.7654,0.7572
C_D_C0019029 (Hemoglobin concentration result),N,0.0001,0.0001
C_D_C0019029 (Hemoglobin concentration result),P,0.2345,0.2426
