===== Class Prior Probabilities =====
P(RSV=False) = 0.9826990810320892
P(RSV=True) = 0.017300918967910695

===== Conditional Probabilities =====
P(AGE=Not Mentioned | RSV=False) = 8.171937566396992E-5
P(AGE=18-64 | RSV=False) = 0.582122135444028
P(AGE=5-17 | RSV=False) = 0.15920101798993685
P(AGE=65+ | RSV=False) = 0.12793751970020664
P(AGE=<5 | RSV=False) = 0.1306576074901645
P(AGE=Not Mentioned | RSV=True) = 6.613756613756613E-4
P(AGE=18-64 | RSV=True) = 0.10846560846560846
P(AGE=5-17 | RSV=True) = 0.04828042328042328
P(AGE=65+ | RSV=True) = 0.10383597883597884
P(AGE=<5 | RSV=True) = 0.7387566137566137
P(N_D_RACE=BLACK | RSV=False) = 0.386264140370539
P(N_D_RACE=Not Mentioned | RSV=False) = 0.00305863948913716
P(N_D_RACE=NOT_SPECIFIED | RSV=False) = 0.011615825540807154
P(N_D_RACE=OTHER | RSV=False) = 0.0354428606451161
P(N_D_RACE=WHITE | RSV=False) = 0.5636185339544005
P(N_D_RACE=BLACK | RSV=True) = 0.22883597883597884
P(N_D_RACE=Not Mentioned | RSV=True) = 0.008597883597883597
P(N_D_RACE=NOT_SPECIFIED | RSV=True) = 0.0205026455026455
P(N_D_RACE=OTHER | RSV=True) = 0.037037037037037035
P(N_D_RACE=WHITE | RSV=True) = 0.705026455026455
P(Abdominal Pain=Not Mentioned | RSV=False) = 0.6222258542792767
P(Abdominal Pain=Negated | RSV=False) = 0.1498885088200614
P(Abdominal Pain=Present | RSV=False) = 0.22788563690066194
P(Abdominal Pain=Not Mentioned | RSV=True) = 0.8370860927152318
P(Abdominal Pain=Negated | RSV=True) = 0.09602649006622517
P(Abdominal Pain=Present | RSV=True) = 0.06688741721854305
P(Apnea=Not Mentioned | RSV=False) = 0.9761724085597208
P(Apnea=Negated | RSV=False) = 0.001891263994769838
P(Apnea=Present | RSV=False) = 0.021936327445509416
P(Apnea=Not Mentioned | RSV=True) = 0.9052980132450331
P(Apnea=Negated | RSV=True) = 0.019867549668874173
P(Apnea=Present | RSV=True) = 0.07483443708609272
P(Arthralgia=Not Mentioned | RSV=False) = 0.9022146467889373
P(Arthralgia=Negated | RSV=False) = 0.03489498815041386
P(Arthralgia=Present | RSV=False) = 0.06289036506064886
P(Arthralgia=Not Mentioned | RSV=True) = 0.9589403973509933
P(Arthralgia=Negated | RSV=True) = 0.017880794701986755
P(Arthralgia=Present | RSV=True) = 0.023178807947019868
P(Back Pain=Not Mentioned | RSV=False) = 0.8170844180860876
P(Back Pain=Negated | RSV=False) = 0.03816383949939876
P(Back Pain=Present | RSV=False) = 0.1447517424145137
