Feature (description),Attribute,F,T
Class Prior,N/A,0.1285,0.8715
N_C_AGE (N/A),M,0.0003,0
N_C_AGE (N/A),ge18less65,0.3162,0.5827
N_C_AGE (N/A),ge5less18,0.2196,0.1569
N_C_AGE (N/A),ge65,0.1027,0.1296
N_C_AGE (N/A),less5,0.3611,0.1307
N_D_RACE (N/A),BLACK,0.3798,0.3785
N_D_RACE (N/A),M,0.0078,0.0025
N_D_RACE (N/A),NOT_SPECIFIED,0.0171,0.0123
N_D_RACE (N/A),OTHER,0.0333,0.0408
N_D_RACE (N/A),WHITE,0.562,0.5658
C_D_C0000737 (Abdominal Pain),M,0.6332,0.5915
C_D_C0000737 (Abdominal Pain),N,0.2107,0.1702
C_D_C0000737 (Abdominal Pain),P,0.1561,0.2383
C_D_C0003578 (Apnea),M,0.9609,0.9758
C_D_C0003578 (Apnea),N,0.0145,0.0016
C_D_C0003578 (Apnea),P,0.0246,0.0226
C_D_C0004604 (Back Pain),M,0.884,0.8153
C_D_C0004604 (Back Pain),N,0.0307,0.0356
C_D_C0004604 (Back Pain),P,0.0853,0.1491
C_D_C0005603 (Birth History),M,0.8924,0.9732
C_D_C0005603 (Birth History),N,0.0006,0.0001
C_D_C0005603 (Birth History),P,0.107,0.0267
C_D_C0007859 (Neck Pain),M,0.8943,0.8754
C_D_C0007859 (Neck Pain),N,0.074,0.0637
C_D_C0007859 (Neck Pain),P,0.0317,0.0608
C_D_C0008031 (Chest Pain),M,0.637,0.5215
C_D_C0008031 (Chest Pain),N,0.2388,0.3152
C_D_C0008031 (Chest Pain),P,0.1241,0.1632
C_D_C0009488 (Comorbidity),M,0.9825,0.995
C_D_C0009488 (Comorbidity),N,0.0032,0.0002
C_D_C0009488 (Comorbidity),P,0.0142,0.0048
C_D_C0009812 (Constitutional Symptom),M,0.5941,0.8051
C_D_C0009812 (Constitutional Symptom),N,0.011,0.0135
C_D_C0009812 (Constitutional Symptom),P,0.395,0.1814
C_D_C0010200 (Coughing),M,0.2489,0.6511
C_D_C0010200 (Coughing),N,0.0663,0.163
C_D_C0010200 (Coughing),P,0.6849,0.1858
C_D_C0010520 (Cyanosis),M,0.9496,0.9627
C_D_C0010520 (Cyanosis),N,0.0213,0.0222
C_D_C0010520 (Cyanosis),P,0.0291,0.0151
C_D_C0011991 (Diarrhea),M,0.5142,0.6615
C_D_C0011991 (Diarrhea),N,0.1477,0.1145
C_D_C0011991 (Diarrhea),P,0.3381,0.2239
C_D_C0012833 (Dizziness),M,0.9127,0.8554
C_D_C0012833 (Dizziness),N,0.0071,0.0174
C_D_C0012833 (Dizziness),P,0.0802,0.1272
C_D_C0013132 (Drooling),M,0.9767,0.9887
C_D_C0013132 (Drooling),N,0.0149,0.0037
C_D_C0013132 (Drooling),P,0.0084,0.0075
C_D_C0013404 (Dyspnea),M,0.5459,0.4721
C_D_C0013404 (Dyspnea),N,0.1503,0.2856
C_D_C0013404 (Dyspnea),P,0.3038,0.2424
C_D_C0013428 (Dysuria),M,0.7224,0.7165
C_D_C0013428 (Dysuria),N,0.2292,0.2103
C_D_C0013428 (Dysuria),P,0.0485,0.0732
C_D_C0013456 (Earache),M,0.8843,0.9045
C_D_C0013456 (Earache),N,0.0753,0.063
C_D_C0013456 (Earache),P,0.0404,0.0325
C_D_C0015230 (Exanthema),M,0.3016,0.3963
C_D_C0015230 (Exanthema),N,0.6141,0.5053
C_D_C0015230 (Exanthema),P,0.0844,0.0984
C_D_C0015672 (Fatigue),M,0.8507,0.9469
C_D_C0015672 (Fatigue),N,0.0065,0.0094
C_D_C0015672 (Fatigue),P,0.1429,0.0436
C_D_C0015967 (Fever),M,0.1244,0.3555
C_D_C0015967 (Fever),N,0.1487,0.4433
C_D_C0015967 (Fever),P,0.7269,0.2012
C_D_C0016199 (Flank Pain),M,0.9942,0.9795
C_D_C0016199 (Flank Pain),N,0.0006,0.0039
C_D_C0016199 (Flank Pain),P,0.0052,0.0166
C_D_C0016512 (Foot pain),M,0.9977,0.9834
C_D_C0016512 (Foot pain),N,0.0003,0.0002
C_D_C0016512 (Foot pain),P,0.0019,0.0164
C_D_C0017979 (Glycosuria),M,0.8465,0.8914
C_D_C0017979 (Glycosuria),N,0.0006,0
C_D_C0017979 (Glycosuria),P,0.1529,0.1086
C_D_C0018681 (Headache),M,0.6823,0.6826
C_D_C0018681 (Headache),N,0.1412,0.1742
C_D_C0018681 (Headache),P,0.1765,0.1432
C_D_C0018808 (Heart murmur),M,0.3109,0.364
C_D_C0018808 (Heart murmur),N,0.6652,0.609
C_D_C0018808 (Heart murmur),P,0.0239,0.027
C_D_C0019029 (Hemoglobin concentration result),M,0.7091,0.7678
C_D_C0019029 (Hemoglobin concentration result),N,0.0003,0.0001
C_D_C0019029 (Hemoglobin concentration result),P,0.2906,0.2321
C_D_C0019079 (Hemoptysis),M,0.9457,0.9768
C_D_C0019079 (Hemoptysis),N,0.0375,0.0098
C_D_C0019079 (Hemoptysis),P,0.0168,0.0134
C_D_C0019214 (Hepatosplenomegaly),M,0.9447,0.9071
C_D_C0019214 (Hepatosplenomegaly),N,0.0504,0.0908
C_D_C0019214 (Hepatosplenomegaly),P,0.0048,0.0021
C_D_C0019559 (Hip joint pain),M,0.9961,0.9864
C_D_C0019559 (Hip joint pain),N,0.001,0.0009
C_D_C0019559 (Hip joint pain),P,0.0029,0.0127
C_D_C0020440 (Hypercapnia),M,0.9897,0.9978
C_D_C0020440 (Hypercapnia),N,0.0016,0.0001
C_D_C0020440 (Hypercapnia),P,0.0087,0.0021
C_D_C0020580 (Hypesthesia),M,0.872,0.7381
C_D_C0020580 (Hypesthesia),N,0.0957,0.1609
C_D_C0020580 (Hypesthesia),P,0.0323,0.101
C_D_C0021294 ('Infant  Premature'),M,0.9913,0.9982
C_D_C0021294 ('Infant  Premature'),N,0.001,0.0001
C_D_C0021294 ('Infant  Premature'),P,0.0078,0.0017
C_D_C0022346 (Icterus),M,0.7427,0.6629
C_D_C0022346 (Icterus),N,0.1099,0.0579
C_D_C0022346 (Icterus),P,0.1474,0.2792
C_D_C0023222 (Pain in lower limb),M,0.9884,0.9733
C_D_C0023222 (Pain in lower limb),N,0.0023,0.0041
C_D_C0023222 (Pain in lower limb),P,0.0094,0.0227
C_D_C0023380 (Lethargy),M,0.9567,0.9829
C_D_C0023380 (Lethargy),N,0.0084,0.0028
C_D_C0023380 (Lethargy),P,0.0349,0.0144
C_D_C0024031 (Low Back Pain),M,0.991,0.9647
C_D_C0024031 (Low Back Pain),N,0.0006,0.0005
C_D_C0024031 (Low Back Pain),P,0.0084,0.0349
C_D_C0025287 (Meningism),M,0.9451,0.9787
C_D_C0025287 (Meningism),N,0.0478,0.0197
C_D_C0025287 (Meningism),P,0.0071,0.0017
C_D_C0026821 (Muscle Cramp),M,0.9935,0.978
C_D_C0026821 (Muscle Cramp),N,0.0006,0.0017
C_D_C0026821 (Muscle Cramp),P,0.0058,0.0203
C_D_C0026858 (Musculoskeletal Pain),M,0.9987,0.9905
C_D_C0026858 (Musculoskeletal Pain),N,0.0003,0.0001
C_D_C0026858 (Musculoskeletal Pain),P,0.001,0.0093
C_D_C0027424 (Nasal congestion (finding)),M,0.6768,0.8989
C_D_C0027424 (Nasal congestion (finding)),N,0.0404,0.062
C_D_C0027424 (Nasal congestion (finding)),P,0.2828,0.0391
C_D_C0027497 (Nausea),M,0.6584,0.607
C_D_C0027497 (Nausea),N,0.1335,0.1738
C_D_C0027497 (Nausea),P,0.2081,0.2192
C_D_C0028643 (Numbness),M,0.8717,0.7346
C_D_C0028643 (Numbness),N,0.096,0.1636
C_D_C0028643 (Numbness),P,0.0323,0.1018
C_D_C0029053 (Decreased translucency),M,0.9218,0.986
C_D_C0029053 (Decreased translucency),N,0.0019,0.0004
C_D_C0029053 (Decreased translucency),P,0.0763,0.0136
C_D_C0030193 (Pain),M,0.7272,0.4504
C_D_C0030193 (Pain),N,0.0798,0.1164
C_D_C0030193 (Pain),P,0.193,0.4332
C_D_C0030232 (Pallor),M,0.8533,0.9214
C_D_C0030232 (Pallor),N,0.129,0.0649
C_D_C0030232 (Pallor),P,0.0178,0.0136
C_D_C0030252 (Palpitations),M,0.872,0.8104
C_D_C0030252 (Palpitations),N,0.0663,0.0704
C_D_C0030252 (Palpitations),P,0.0617,0.1192
C_D_C0032617 (Polyuria),M,0.9593,0.9229
C_D_C0032617 (Polyuria),N,0.0365,0.07
C_D_C0032617 (Polyuria),P,0.0042,0.0071
C_D_C0033774 (Pruritus),M,0.9564,0.9282
C_D_C0033774 (Pruritus),N,0.021,0.0146
C_D_C0033774 (Pruritus),P,0.0226,0.0571
C_D_C0034642 (Rales),M,0.8239,0.8771
C_D_C0034642 (Rales),N,0.041,0.0173
C_D_C0034642 (Rales),P,0.1351,0.1056
C_D_C0035508 (Rhonchi),M,0.9001,0.9291
C_D_C0035508 (Rhonchi),N,0.0039,0.0019
C_D_C0035508 (Rhonchi),P,0.096,0.069
C_D_C0037011 (Shoulder Pain),M,0.9961,0.9845
C_D_C0037011 (Shoulder Pain),N,0.0003,0.0006
C_D_C0037011 (Shoulder Pain),P,0.0036,0.0148
C_D_C0037090 ('Signs and Symptoms  Respiratory'),M,0.6047,0.8348
C_D_C0037090 ('Signs and Symptoms  Respiratory'),N,0.0026,0.0021
C_D_C0037090 ('Signs and Symptoms  Respiratory'),P,0.3927,0.1631
C_D_C0037763 (Spasm),M,0.9942,0.977
C_D_C0037763 (Spasm),N,0.0006,0.0013
C_D_C0037763 (Spasm),P,0.0052,0.0218
C_D_C0038450 (Stridor),M,0.9176,0.9568
C_D_C0038450 (Stridor),N,0.0643,0.0375
C_D_C0038450 (Stridor),P,0.0181,0.0057
C_D_C0039231 (Tachycardia),M,0.8209,0.9358
C_D_C0039231 (Tachycardia),N,0.0078,0.0136
C_D_C0039231 (Tachycardia),P,0.1713,0.0506
