Feature (description),Attribute,M,T
Class Prior,N/A,0.9993,0.0007
N_C_AGE (N/A),M,0.0001,0.0154
N_C_AGE (N/A),ge18less65,0.5821,0.4
N_C_AGE (N/A),ge5less18,0.1592,0.0615
N_C_AGE (N/A),ge65,0.1279,0.3538
N_C_AGE (N/A),less5,0.1307,0.1692
N_D_RACE (N/A),BLACK,0.3863,0.2462
N_D_RACE (N/A),M,0.0031,0.0154
N_D_RACE (N/A),NOT_SPECIFIED,0.0116,0.0154
N_D_RACE (N/A),OTHER,0.0354,0.0308
N_D_RACE (N/A),WHITE,0.5636,0.6923
C_D_C0000737 (Abdominal Pain),M,0.6222,0.5873
C_D_C0000737 (Abdominal Pain),N,0.1499,0.1429
C_D_C0000737 (Abdominal Pain),P,0.2279,0.2698
C_D_C0003578 (Apnea),M,0.9762,0.9524
C_D_C0003578 (Apnea),N,0.0019,0.0159
C_D_C0003578 (Apnea),P,0.0219,0.0317
C_D_C0003862 (Arthralgia),M,0.9022,0.7937
C_D_C0003862 (Arthralgia),N,0.0349,0.0952
C_D_C0003862 (Arthralgia),P,0.0629,0.1111
C_D_C0004604 (Back Pain),M,0.8171,0.7143
C_D_C0004604 (Back Pain),N,0.0382,0.0794
C_D_C0004604 (Back Pain),P,0.1448,0.2063
C_D_C0005603 (Birth History),M,0.9752,0.9683
C_D_C0005603 (Birth History),N,0.0001,0.0159
C_D_C0005603 (Birth History),P,0.0248,0.0159
C_D_C0007859 (Neck Pain),M,0.8783,0.9206
C_D_C0007859 (Neck Pain),N,0.0591,0.0476
C_D_C0007859 (Neck Pain),P,0.0626,0.0317
C_D_C0008031 (Chest Pain),M,0.5595,0.5079
C_D_C0008031 (Chest Pain),N,0.2738,0.3016
C_D_C0008031 (Chest Pain),P,0.1667,0.1905
C_D_C0008035 (Chest wall pain),M,0.9872,0.9683
C_D_C0008035 (Chest wall pain),N,0.0003,0.0159
C_D_C0008035 (Chest wall pain),P,0.0126,0.0159
C_D_C0009791 (Consciousness related finding),M,0.9476,0.9683
C_D_C0009791 (Consciousness related finding),N,0.0008,0.0159
C_D_C0009791 (Consciousness related finding),P,0.0516,0.0159
C_D_C0009806 (Constipation),M,0.8768,0.7778
C_D_C0009806 (Constipation),N,0.0308,0.0476
C_D_C0009806 (Constipation),P,0.0924,0.1746
C_D_C0009812 (Constitutional Symptom),M,0.824,0.8095
C_D_C0009812 (Constitutional Symptom),N,0.0076,0.0159
C_D_C0009812 (Constitutional Symptom),P,0.1684,0.1746
C_D_C0010200 (Coughing),M,0.686,0.254
C_D_C0010200 (Coughing),N,0.1565,0.0476
C_D_C0010200 (Coughing),P,0.1575,0.6984
