Feature (description),Attribute,F,T
Class Prior,N/A,0.1531,0.8469
N_C_AGE (N/A),M,0.0003,0.0002
N_C_AGE (N/A),ge18less65,0.2534,0.5614
N_C_AGE (N/A),ge5less18,0.2347,0.161
N_C_AGE (N/A),ge65,0.0723,0.1459
N_C_AGE (N/A),less5,0.4394,0.1315
N_D_ETHNICITY (N/A),HISPANIC_OR_LATINO,0.0247,0.0113
N_D_ETHNICITY (N/A),M,0.0097,0.0151
N_D_ETHNICITY (N/A),NOT_HISPANIC_OR_LATINO,0.8992,0.9028
N_D_ETHNICITY (N/A),NOT_SPECIFIED,0.0663,0.0708
N_D_RACE (N/A),BLACK,0.3531,0.3781
N_D_RACE (N/A),M,0.0068,0.0066
N_D_RACE (N/A),NOT_SPECIFIED,0.0245,0.0221
N_D_RACE (N/A),OTHER,0.0424,0.0324
N_D_RACE (N/A),WHITE,0.5733,0.5607
C_D_C0000737 (Abdominal Pain),M,0.83,0.6869
C_D_C0000737 (Abdominal Pain),N,0.079,0.1076
C_D_C0000737 (Abdominal Pain),P,0.0911,0.2056
C_D_C0003862 (Arthralgia),M,0.9242,0.842
C_D_C0003862 (Arthralgia),N,0.0237,0.0598
C_D_C0003862 (Arthralgia),P,0.0521,0.0982
C_D_C0004604 (Back Pain),M,0.92,0.7874
C_D_C0004604 (Back Pain),N,0.0297,0.08
C_D_C0004604 (Back Pain),P,0.0503,0.1325
C_D_C0005603 (Birth History),M,0.9982,0.9998
C_D_C0005603 (Birth History),N,0.0003,0
C_D_C0005603 (Birth History),P,0.0016,0.0001
C_D_C0005758 (Bulla),M,0.9968,0.9878
C_D_C0005758 (Bulla),N,0.0011,0.0021
C_D_C0005758 (Bulla),P,0.0021,0.0101
C_D_C0007859 (Neck Pain),M,0.9492,0.8816
C_D_C0007859 (Neck Pain),N,0.0332,0.0604
C_D_C0007859 (Neck Pain),P,0.0176,0.058
C_D_C0008031 (Chest Pain),M,0.7663,0.5294
C_D_C0008031 (Chest Pain),N,0.1495,0.3093
C_D_C0008031 (Chest Pain),P,0.0842,0.1613
C_D_C0008035 (Chest wall pain),M,0.9966,0.9847
C_D_C0008035 (Chest wall pain),N,0.0003,0.0003
C_D_C0008035 (Chest wall pain),P,0.0032,0.015
C_D_C0009488 (Comorbidity),M,0.986,0.9947
C_D_C0009488 (Comorbidity),N,0.0029,0.0001
C_D_C0009488 (Comorbidity),P,0.0111,0.0052
C_D_C0009791 (Consciousness related finding),M,0.9968,0.971
C_D_C0009791 (Consciousness related finding),N,0.0003,0.001
C_D_C0009791 (Consciousness related finding),P,0.0029,0.028
C_D_C0009806 (Constipation),M,0.9374,0.8949
C_D_C0009806 (Constipation),N,0.0271,0.0337
C_D_C0009806 (Constipation),P,0.0355,0.0714
C_D_C0009812 (Constitutional Symptom),M,0.99,0.989
C_D_C0009812 (Constitutional Symptom),N,0.0016,0.0097
C_D_C0009812 (Constitutional Symptom),P,0.0084,0.0013
C_D_C0010200 (Coughing),M,0.7083,0.6802
C_D_C0010200 (Coughing),N,0.0387,0.1788
C_D_C0010200 (Coughing),P,0.253,0.141
C_D_C0010520 (Cyanosis),M,0.975,0.9565
C_D_C0010520 (Cyanosis),N,0.0174,0.0297
C_D_C0010520 (Cyanosis),P,0.0076,0.0139
C_D_C0011991 (Diarrhea),M,0.786,0.7105
C_D_C0011991 (Diarrhea),N,0.0927,0.1258
C_D_C0011991 (Diarrhea),P,0.1213,0.1637
C_D_C0012569 (Diplopia),M,0.9784,0.9433
C_D_C0012569 (Diplopia),N,0.0118,0.0328
C_D_C0012569 (Diplopia),P,0.0097,0.0239
C_D_C0012833 (Dizziness),M,0.9497,0.858
C_D_C0012833 (Dizziness),N,0.0063,0.0214
C_D_C0012833 (Dizziness),P,0.044,0.1207
C_D_C0013144 (Drowsiness),M,0.9918,0.9792
C_D_C0013144 (Drowsiness),N,0.0003,0.0007
C_D_C0013144 (Drowsiness),P,0.0079,0.0201
C_D_C0013404 (Dyspnea),M,0.7389,0.529
C_D_C0013404 (Dyspnea),N,0.0745,0.2285
C_D_C0013404 (Dyspnea),P,0.1866,0.2425
C_D_C0013428 (Dysuria),M,0.8344,0.688
C_D_C0013428 (Dysuria),N,0.134,0.2414
C_D_C0013428 (Dysuria),P,0.0316,0.0706
C_D_C0015230 (Exanthema),M,0.7523,0.5343
C_D_C0015230 (Exanthema),N,0.2098,0.3897
C_D_C0015230 (Exanthema),P,0.0379,0.076
C_D_C0015468 (Facial Pain),M,0.9992,0.9923
C_D_C0015468 (Facial Pain),N,0.0003,0.0004
C_D_C0015468 (Facial Pain),P,0.0005,0.0073
C_D_C0015672 (Fatigue),M,0.9126,0.9318
C_D_C0015672 (Fatigue),N,0.0121,0.031
C_D_C0015672 (Fatigue),P,0.0753,0.0372
C_D_C0015967 (Fever),M,0.6941,0.4996
C_D_C0015967 (Fever),N,0.0774,0.3496
C_D_C0015967 (Fever),P,0.2285,0.1507
C_D_C0016199 (Flank Pain),M,0.9953,0.9778
C_D_C0016199 (Flank Pain),N,0.0008,0.0033
C_D_C0016199 (Flank Pain),P,0.0039,0.0189
C_D_C0016512 (Foot pain),M,0.9982,0.9878
C_D_C0016512 (Foot pain),N,0.0003,0.0007
C_D_C0016512 (Foot pain),P,0.0016,0.0115
C_D_C0016928 (Gait),M,0.99,0.963
C_D_C0016928 (Gait),N,0.0003,0.0004
C_D_C0016928 (Gait),P,0.0097,0.0366
C_D_C0017979 (Glycosuria),M,0.9489,0.9012
C_D_C0017979 (Glycosuria),N,0.0003,0.0001
C_D_C0017979 (Glycosuria),P,0.0508,0.0987
C_D_C0018681 (Headache),M,0.8407,0.7423
C_D_C0018681 (Headache),N,0.0661,0.1319
C_D_C0018681 (Headache),P,0.0932,0.1258
C_D_C0018808 (Heart murmur),M,0.8068,0.6156
C_D_C0018808 (Heart murmur),N,0.1819,0.3603
C_D_C0018808 (Heart murmur),P,0.0113,0.024
C_D_C0019029 (Hemoglobin concentration result),M,0.8465,0.7643
C_D_C0019029 (Hemoglobin concentration result),N,0.0003,0
C_D_C0019029 (Hemoglobin concentration result),P,0.1532,0.2356
C_D_C0019214 (Hepatosplenomegaly),M,0.9676,0.9298
C_D_C0019214 (Hepatosplenomegaly),N,0.0313,0.07
C_D_C0019214 (Hepatosplenomegaly),P,0.0011,0.0002
C_D_C0019559 (Hip joint pain),M,0.9979,0.9886
C_D_C0019559 (Hip joint pain),N,0.0003,0.0006
C_D_C0019559 (Hip joint pain),P,0.0018,0.0108
C_D_C0020580 (Hypesthesia),M,0.9029,0.717
C_D_C0020580 (Hypesthesia),N,0.0763,0.1901
C_D_C0020580 (Hypesthesia),P,0.0208,0.0929
C_D_C0021294 ('Infant  Premature'),M,0.9987,0.9998
