Feature (description),Attribute,M,T
Class Prior,N/A,0.9701,0.0299
N_C_AGE (N/A),M,0,0.0004
N_C_AGE (N/A),ge18less65,0.5955,0.4493
N_C_AGE (N/A),ge5less18,0.1582,0.2115
N_C_AGE (N/A),ge65,0.1185,0.1178
N_C_AGE (N/A),less5,0.1278,0.2211
C_D_C0000737 (Abdominal Pain),M,0.6489,0.6397
C_D_C0000737 (Abdominal Pain),N,0.1278,0.1742
C_D_C0000737 (Abdominal Pain),P,0.2234,0.1861
C_D_C0003578 (Apnea),M,0.9836,0.9726
C_D_C0003578 (Apnea),N,0.0018,0.0085
C_D_C0003578 (Apnea),P,0.0146,0.0189
C_D_C0004604 (Back Pain),M,0.8416,0.8895
C_D_C0004604 (Back Pain),N,0.0257,0.0189
C_D_C0004604 (Back Pain),P,0.1327,0.0915
C_D_C0005603 (Birth History),M,0.9797,0.9526
C_D_C0005603 (Birth History),N,0,0.0004
C_D_C0005603 (Birth History),P,0.0203,0.0471
C_D_C0008031 (Chest Pain),M,0.6038,0.629
C_D_C0008031 (Chest Pain),N,0.2039,0.1935
C_D_C0008031 (Chest Pain),P,0.1923,0.1775
C_D_C0009812 (Constitutional Symptom),M,0.8309,0.6987
C_D_C0009812 (Constitutional Symptom),N,0.0041,0.0022
C_D_C0009812 (Constitutional Symptom),P,0.1651,0.2991
C_D_C0010200 (Coughing),M,0.7427,0.2769
C_D_C0010200 (Coughing),N,0.1125,0.0489
C_D_C0010200 (Coughing),P,0.1448,0.6742
C_D_C0011991 (Diarrhea),M,0.7435,0.5234
C_D_C0011991 (Diarrhea),N,0.0659,0.1264
C_D_C0011991 (Diarrhea),P,0.1906,0.3503
C_D_C0012833 (Dizziness),M,0.878,0.9021
C_D_C0012833 (Dizziness),N,0.018,0.01
C_D_C0012833 (Dizziness),P,0.1041,0.0878
C_D_C0013404 (Dyspnea),M,0.5673,0.5234
C_D_C0013404 (Dyspnea),N,0.1634,0.1253
C_D_C0013404 (Dyspnea),P,0.2693,0.3514
C_D_C0015230 (Exanthema),M,0.4673,0.3681
C_D_C0015230 (Exanthema),N,0.4364,0.5693
C_D_C0015230 (Exanthema),P,0.0963,0.0626
C_D_C0015672 (Fatigue),M,0.9487,0.8447
C_D_C0015672 (Fatigue),N,0.0087,0.0056
C_D_C0015672 (Fatigue),P,0.0426,0.1497
C_D_C0015967 (Fever),M,0.4085,0.1516
C_D_C0015967 (Fever),N,0.3512,0.1156
C_D_C0015967 (Fever),P,0.2403,0.7328
C_D_C0016512 (Foot pain),M,0.9846,0.9981
C_D_C0016512 (Foot pain),N,0.0005,0.0004
C_D_C0016512 (Foot pain),P,0.0149,0.0015
C_D_C0017979 (Glycosuria),M,0.936,0.8855
C_D_C0017979 (Glycosuria),N,0.0001,0.0007
C_D_C0017979 (Glycosuria),P,0.0639,0.1138
C_D_C0018681 (Headache),M,0.733,0.6705
C_D_C0018681 (Headache),N,0.1153,0.1038
C_D_C0018681 (Headache),P,0.1517,0.2257
C_D_C0019029 (Hemoglobin concentration result),M,0.8569,0.7313
C_D_C0019029 (Hemoglobin concentration result),N,0,0.0004
C_D_C0019029 (Hemoglobin concentration result),P,0.1431,0.2683
C_D_C0019079 (Hemoptysis),M,0.9799,0.9522
C_D_C0019079 (Hemoptysis),N,0.0085,0.0345
C_D_C0019079 (Hemoptysis),P,0.0115,0.0133
C_D_C0019214 (Hepatosplenomegaly),M,0.9019,0.9318
C_D_C0019214 (Hepatosplenomegaly),N,0.0957,0.0634
C_D_C0019214 (Hepatosplenomegaly),P,0.0024,0.0048
C_D_C0020580 (Hypesthesia),M,0.8535,0.9396
C_D_C0020580 (Hypesthesia),N,0.0545,0.0208
C_D_C0020580 (Hypesthesia),P,0.0919,0.0397
C_D_C0021294 ('Infant  Premature'),M,0.9985,0.9922
C_D_C0021294 ('Infant  Premature'),N,0,0.0004
